row_in_workbook,series,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Num_Openings,Opening_Shape,Opening_Pos,col_shape,Vu_kN,Vu_ACI318_kN,Vu_EC2_kN,EC2_perimeter_ratio
437,154,previous_db,False,114.3,305.0,19.78,4.447471191587417,1.52,6.452318460192476,0,1000.0,,,,,433.0,281.3572870063648,339.876959157497,1.0
438,75,previous_db,False,114.0,356.0,26.39,5.137119815616529,2.49,6.236842105263158,0,1000.0,,,,,534.0,363.3258812313685,439.7522951702832,1.0
439,155,previous_db,False,170.0,315.73,31.07,5.574047003748713,0.67,4.023529411764706,0,1000.0,,,,,686.0,607.5589273937655,572.269424386936,1.0
440,156,previous_db,False,122.0,117.81,27.0,5.196152422706632,1.63,6.39344262295082,0,1000.0,,,,,332.0,200.67022288327323,310.80183755328954,1.0
441,31,previous_db,False,121.0,203.0,30.88,5.556977595779922,1.9,4.822314049586777,0,1000.0,,,,,422.0,287.56958955774206,394.81371492887786,1.0
442,157,previous_db,False,88.0,117.81,33.34,5.7740800133008205,1.29,4.261363636363637,0,1000.0,,,,,294.0,138.04029341954927,175.0481404079691,1.0
443,158,previous_db,False,110.0,109.96,11.54,3.3970575502926055,0.64,4.590909090909091,0,1000.0,,,,,177.0,108.4958762762949,140.5202903318923,1.0
444,159,previous_db,False,500.0,300.0,37.43,6.118006211176971,0.76,1.475,0,1000.0,,,,,2681.0,2637.534849058871,3356.2026480289705,1.0
445,97,previous_db,False,124.7,200.0,33.53,5.790509476721371,0.54,8.981555733761025,0,1000.0,,,,,282.0,309.4848898129576,279.02802810371986,1.0
446,22,previous_db,False,107.0,100.0,37.74,6.143289021363068,1.06,13.55140186915888,0,1000.0,,,,,184.0,179.6093752651052,229.83622460880417,1.0
447,160,previous_db,False,60.0,100.0,37.05,6.08687111741328,1.95,7.5,0,1000.0,,,,,170.0,77.1328307998611,103.815089537075,1.0
448,19,previous_db,False,118.0,254.0,27.57,5.250714237130031,1.17,6.457627118644067,0,1000.0,,,,,356.0,304.24066484203894,337.90586491762497,1.0
449,29,previous_db,False,190.0,300.0,32.2,5.674504383644443,1.35,7.105263157894737,0,1000.0,,,,,825.0,697.3511927148328,862.8287178336773,1.0
450,29,previous_db,False,107.0,250.0,32.15,5.670097000933935,1.06,12.85046728971963,0,1000.0,,,,,257.0,285.90148664705146,292.8089136387951,1.0
451,161,previous_db,False,90.0,150.0,62.7,7.918333157931662,2.38,7.5,0,1000.0,,,,,418.0,225.76751499894755,280.7164772661405,1.0
452,162,previous_db,False,83.0,80.11,37.99,6.163602842493991,1.75,1.831325301204819,0,1000.0,,,,,204.0,110.14562664607018,165.03973925572612,1.0
453,104,previous_db,False,40.5,100.0,32.62,5.711392124517454,0.82,6.666666666666667,0,1000.0,,,,,56.0,42.89900872822678,39.63307101285572,1.0
454,127,previous_db,False,128.0,125.66,32.17,5.671860364994893,0.98,6.40625,0,1000.0,,,,,365.0,243.0868239671908,307.31772677113275,1.0
455,163,previous_db,False,125.0,508.0,33.67,5.8025856305616035,1.52,7.112,0,1000.0,,,,,579.0,605.8711760294593,601.9325006357468,1.0
456,59,previous_db,False,117.0,203.0,30.59,5.530822723609933,1.9,4.987179487179487,0,1000.0,,,,,531.0,273.3376836589818,372.3621484962805,1.0
457,164,previous_db,False,80.0,78.54,37.5,6.123724356957945,1.8,5.975,0,1000.0,,,,,183.0,102.52231540870312,154.72475972114214,1.0
458,165,previous_db,False,172.0,313.37,31.07,5.574047003748713,0.66,3.98546511627907,0,1000.0,,,,,696.0,614.2510880933278,578.76659950058,1.0
459,68,previous_db,False,46.5,100.0,27.0,5.196152422706632,0.69,5.806451612903226,0,1000.0,,,,,66.0,46.7246859308899,43.6820699996818,1.0
460,166,previous_db,False,172.0,137.44,38.66,6.217716622683925,0.58,1.119186046511628,0,1000.0,,,,,789.0,436.8272830104612,473.389440272314,1.0
461,167,previous_db,False,96.0,130.0,29.3,5.412947441089743,1.46,6.510416666666667,0,1000.0,,,,,236.0,155.01988614008567,208.6643083733453,1.0
462,104,previous_db,False,40.5,100.0,28.05,5.296225070746145,1.11,6.666666666666667,0,1000.0,,,,,67.0,39.780635015633486,41.69113679224232,1.0
463,59,previous_db,False,117.0,203.0,14.72,3.8366652186501757,1.5,4.987179487179487,0,1000.0,,,,,339.0,189.61106443786664,269.6833852983458,1.0
464,43,previous_db,False,111.0,109.96,11.54,3.3970575502926055,0.64,4.54954954954955,0,1000.0,,,,,198.0,109.97993929653008,142.77565387790503,1.0
465,82,previous_db,False,127.0,225.0,63.74,7.983733462484829,1.03,7.523622047244094,0,1000.0,,,,,443.0,471.1143633331368,460.3500789254514,1.0
466,168,previous_db,False,113.28,159.44,23.58,4.8559242168715935,2.13,2.131885593220339,0,1000.0,,,,,357.0,198.02319354408235,303.7038790087683,1.0
467,23,previous_db,False,60.0,78.54,26.77,5.173973328110612,1.06,3.825,0,1000.0,,,,,104.0,56.77073937821439,70.37216598787292,1.0
468,169,previous_db,False,75.0,150.0,21.52,4.638965401897281,1.5,4.666666666666667,0,1000.0,,,,,197.0,103.33295432726192,132.60519156620185,1.0
469,27,previous_db,False,114.0,254.0,35.56,5.96322060635023,2.49,6.684210526315789,0,1000.0,,,,,467.0,330.2231207584384,416.34158750032753,1.0
470,170,previous_db,False,200.0,196.35,84.67,9.201630290334425,0.81,5.375,0,1000.0,,,,,965.0,962.8254677115492,972.1727333869104,1.0
471,171,previous_db,False,60.5,51.0,19.24,4.386342439892261,1.89,6.71900826446281,0,1000.0,,,,,71.0,39.057703758352254,69.57877200372954,1.0
472,65,previous_db,False,100.0,200.0,70.3,8.384509526501834,1.49,5.0,0,1000.0,,,,,331.0,332.02657724947267,349.0122653180288,1.0
473,172,previous_db,False,63.2,51.0,21.87,4.676537180435969,0.89,6.431962025316455,0,1000.0,,,,,64.0,44.55346698998684,61.0915393411888,1.0
474,86,previous_db,False,53.5,100.0,30.38,5.511805511808268,0.69,5.046728971962617,0,1000.0,,,,,88.0,59.74890875493863,56.94451226030516,1.0
475,111,previous_db,False,95.0,150.0,66.5,8.154753215150045,0.84,7.105263157894737,0,1000.0,,,,,249.0,250.5384830290548,234.5137783558436,1.0
