row_in_workbook,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Vu_kN,subset,Vu_ACI318_kN,Vu_EC2_kN,Vu_ElShafiey_kN,Vu_Koroglu_kN
704,solid-slab database [30],0,88.0,350.24,27.9,5.282,1.75,4.83,0,1000.0,408.0,train,268.89,290.26,,
705,solid-slab database [30],0,98.0,249.9,31.4,5.6036,1.57,4.85,0,1000.0,360.0,test,252.19,288.62,,
706,solid-slab database [30],0,99.0,250.47,37.8,6.1482,1.14,4.8,0,1000.0,357.0,train,280.78,280.63,,
707,solid-slab database [30],0,100.0,250.0,40.2,6.3403,0.79,4.75,0,1000.0,293.0,train,292.92,257.27,,
708,solid-slab database [30],0,98.0,249.9,44.3,6.6558,1.57,4.85,0,1000.0,412.0,train,299.54,323.71,,
709,solid-slab database [30],0,99.0,250.47,44.7,6.6858,1.14,4.8,0,1000.0,354.0,train,305.33,296.76,,
710,solid-slab database [30],0,210.0,260.4,38.4,6.1968,0.25,5.95,0,1000.0,440.0,train,808.03,584.24,,
711,solid-slab database [30],0,210.0,260.4,32.0,5.6569,0.25,5.95,0,1000.0,408.0,train,737.62,549.79,,
712,solid-slab database [30],0,210.0,260.4,34.1,5.8395,0.75,5.95,0,1000.0,763.0,train,761.44,809.92,,
713,solid-slab database [30],0,117.0,129.87,34.1,5.8395,0.28,5.34,0,1000.0,140.0,train,222.64,177.8,,
714,solid-slab database [30],0,117.0,129.87,34.1,5.8395,0.22,5.34,0,1000.0,115.0,train,222.64,164.06,,
715,solid-slab database [30],0,196.0,260.68,57.5,7.5829,0.82,6.38,0,1000.0,989.0,train,895.93,893.64,,
716,solid-slab database [30],0,212.0,260.76,56.7,7.5299,1.48,5.9,0,1000.0,1433.0,train,996.19,1220.89,,
717,solid-slab database [30],0,206.0,259.56,43.4,6.5879,0.78,6.07,0,1000.0,860.0,train,833.99,863.72,,
718,solid-slab database [30],0,201.0,259.29,46.5,6.8191,1.56,6.22,0,1000.0,1094.0,train,832.78,1073.9,,
719,solid-slab database [30],0,199.0,260.69,38.9,6.237,0.81,6.28,0,1000.0,839.0,train,753.12,801.79,,
720,solid-slab database [30],0,194.0,259.96,37.8,6.1482,1.61,6.44,0,1000.0,1102.0,train,714.73,955.37,,
721,solid-slab database [30],0,162.5,250.25,31.2,5.5857,0.52,4.86,0,1000.0,479.0,test,494.53,450.66,,
722,solid-slab database [30],0,157.5,250.43,32.8,5.7271,2.17,5.02,0,1000.0,678.0,test,485.71,700.45,,
723,solid-slab database [30],0,162.5,250.25,50.7,7.1204,0.65,4.86,0,1000.0,675.0,test,630.4,570.74,,
724,solid-slab database [30],0,160.0,249.6,51.4,7.1694,0.98,4.94,0,1000.0,798.0,train,620.21,640.09,,
725,solid-slab database [30],0,157.5,250.43,51.4,7.1694,1.13,5.02,0,1000.0,811.0,train,608.03,654.56,,
726,solid-slab database [30],0,157.5,250.43,55.0,7.4162,1.67,5.02,0,1000.0,802.0,train,628.96,762.59,,
727,solid-slab database [30],0,137.5,250.25,56.4,7.51,2.48,5.75,0,1000.0,788.0,train,528.53,701.18,,
728,solid-slab database [30],0,127.5,249.9,57.1,7.5565,2.68,6.2,0,1000.0,801.0,train,479.96,638.77,,
729,solid-slab database [30],0,105.0,250.0,44.7,6.6858,0.45,9.5238,0,1000.0,219.0,train,328.96,238.44,,
730,solid-slab database [30],0,105.0,250.0,32.3,5.6833,0.4,7.52,0,1000.0,228.0,train,279.64,205.73,,
731,solid-slab database [30],0,112.5,249.75,57.1,7.5565,1.88,7.02,0,1000.0,481.0,train,406.49,464.4,,
732,solid-slab database [30],0,193.0,129.31,35.3,5.9414,1.63,6.81,0,1000.0,682.0,train,487.86,789.29,,
733,solid-slab database [30],0,210.0,260.4,33.5,5.7879,1.5,5.95,0,1000.0,974.0,train,754.71,1014.41,,
734,solid-slab database [30],0,197.0,520.08,35.5,5.9582,1.59,5.69,0,1000.0,1324.0,train,1111.02,1239.42,,
735,solid-slab database [30],0,267.0,339.09,30.5,5.5227,1.58,4.53,0,1000.0,1625.0,train,1179.7,1537.19,,
736,solid-slab database [30],0,353.0,441.25,31.7,5.6303,1.5,3.29,0,1000.0,2491.0,test,2083.7,2501.87,,
737,solid-slab database [30],0,150.0,250.5,24.5,4.9497,0.86,7.0,0,1000.0,473.0,train,392.51,430.58,,
738,solid-slab database [30],0,150.0,250.5,22.6,4.7539,1.28,7.0,0,1000.0,600.0,train,376.98,478.56,,
739,solid-slab database [30],0,150.0,250.5,39.4,6.2769,0.86,7.0,0,1000.0,723.0,train,497.76,504.47,,
740,solid-slab database [30],0,150.0,250.5,35.9,5.9917,1.28,7.0,0,1000.0,801.0,train,475.13,558.39,,
741,solid-slab database [30],0,150.0,250.5,26.4,5.1381,0.86,5.0,0,1000.0,678.0,test,407.45,441.44,,
742,solid-slab database [30],0,150.0,250.5,25.8,5.0794,1.28,5.0,0,1000.0,692.0,train,402.79,500.16,,
743,solid-slab database [30],0,150.0,250.5,34.8,5.8992,0.86,5.0,0,1000.0,691.0,train,467.8,484.02,,
744,solid-slab database [30],0,150.0,250.5,34.0,5.831,1.28,5.0,0,1000.0,855.0,train,462.39,548.36,,
745,solid-slab database [30],0,200.0,450.0,34.6,5.8822,1.07,5.13,0,1000.0,974.0,test,1009.38,1035.05,,
746,solid-slab database [30],0,105.0,236.25,33.6,5.7966,1.0,6.33,0,1000.0,289.2,train,274.16,276.21,,
747,solid-slab database [30],0,104.2,200.06,100.7,10.0349,0.94,6.38,0,1000.0,412.9,train,419.95,360.66,,
748,solid-slab database [30],0,101.6,200.15,104.3,10.2127,1.24,6.55,0,1000.0,429.0,train,413.29,384.24,,
749,solid-slab database [30],0,101.7,200.35,103.9,10.1931,1.48,6.54,0,1000.0,460.9,train,413.32,407.87,,
750,solid-slab database [30],0,96.0,129.6,40.3,6.3482,1.5,7.14,0,1000.0,393.9,test,181.48,233.94,,
751,solid-slab database [30],0,96.0,129.6,37.8,6.1482,1.5,7.14,0,1000.0,361.3,test,175.76,229.0,,
752,solid-slab database [30],0,96.0,129.6,39.4,6.2769,1.5,7.14,0,1000.0,385.2,train,179.45,232.19,,
753,solid-slab database [30],0,197.0,260.04,32.9,5.7359,1.59,2.93,0,1000.0,985.0,train,681.7,932.5,,
754,solid-slab database [30],0,204.0,259.08,32.2,5.6745,1.54,8.09,0,1000.0,961.0,train,707.6,966.49,,
